Name,Description,"Is Instance","Instance Of","Reference Documents","Initial Date","Last Change Date","Initial Time","Last Change Time","Initial Audit","Last Change Audit",GUID
Contingency,,T,"""MRM Change Driver Type""",,10/20/2010,10/20/2010,"10:21:48 AM","10:21:48 AM",jra,jra,ce19dc11-1611-4d1b-845a-0b23fa9b16d0
Demographic,,F,,,10/20/2010,10/20/2010,"10:22:00 AM","10:22:00 AM",jra,jra,b6ef52a1-a1ff-4253-bcc9-205f8470fbf2
Economic,,T,"""MRM Change Driver Type""",,10/20/2010,10/20/2010,"10:23:20 AM","10:23:23 AM",jra,jra,4e443cec-a48c-4e13-b639-1b7bc9c70cac
Environmental,,T,"""MRM Change Driver Type""",,10/20/2010,10/20/2010,"10:23:32 AM","10:23:32 AM",jra,jra,29635ed8-1ef8-40f7-9318-1bf2c4b9e3f1
Financial,,T,"""MRM Change Driver Type""",,10/20/2010,10/20/2010,"10:23:46 AM","10:23:46 AM",jra,jra,c2cb58d2-a7b0-4cd6-a00c-036bf45ee81b
Legislative,`,T,"""MRM Change Driver Type""",,10/20/2010,10/20/2010,"10:23:57 AM","10:24:00 AM",jra,jra,281a577a-0572-4837-b086-e6771499b77c
"MRM Change Driver Type","A singleton for the MRM Change Driver Type enumeration",F,,,10/20/2010,10/20/2010,"10:20:54 AM","10:21:10 AM",jra,jra,7cedd24a-1994-477f-bf82-eb63461f2496
Political,,T,"""MRM Change Driver Type""",,10/20/2010,10/20/2010,"10:24:17 AM","10:24:17 AM",jra,jra,ce0b7021-7efa-40ae-a4e2-d4dc6843d6d4
Social,,T,"""MRM Change Driver Type""",,10/20/2010,10/20/2010,"10:24:40 AM","10:24:40 AM",jra,jra,a2f0e9c6-2c3e-4f7a-b0cf-e80c9e45fd6b
