Name,Description,Classifiers,Establishing Organization Unit,Judging Assessment,Supported Desired Result,Realizing Business Process,Base Directive,Governing Directive,Parent,Sub-Course Of Action,Enforced Business Rule,Implemented Strategy,,,,,,
Confirm greenhouse gas reduction targets,Confirm short and long term targets for reductions in greenhouse gas emissions,,,,,,,,,,,,,,,,,
Conform short and long term targets for reductions in greenhouse gas emissions,,,,,,,,,,,,,,,,,,
Develop and adopt Climate Change Strategy,,,,,,,,,,,,,,,,,,
Develop greenhouse gas monitoring progra,,,,,,,,,,,,,,,,,,
Develop greenhouse gass monitoring program,Develop greenhouse gas monitoring program following implementation of strategy to track progress on achieving targeted emission reductions,,,,,,,,,,,,,,,,,
Implement Climate Chagne Strategy,,,,,,,,,,,,,,,,,,
Implement Climate Change Strategy,,,,,,,,,,,,,,,,,,
Reduce greenhouse gas emissions (GHG),,,,,,,,,,,,,,,,,,
